Date,Transect,Quadrat,TQcode,Species,"DAFOR (D, A, F, O or R)",Shrub cover N (0-5),Shrub cover E (0-5),Shrub cover S (0-5),Shrub cover W (0-5),Average shrub cover (0-5),Canopy LG (%),Canopy Overhead (%),Average Canopy Openness (%),Trampling (1=none/low; 2=medium; 3=high),Litter? (Y/N),Garden waste? (Y/N),Comments
05/07/2016,1,1,T1Q1,Enchanter's nightshade,O,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Red campion ,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Bluebell,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Ivy,O,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Herb robert ,O,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Wood dock,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Dog violet,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Wood avens ,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Sycamore tree,R,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,1,T1Q1,Bare Ground ,A,4,4,3,0,2.75,44,4,24,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Enchanter's nightshade,O,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Bluebell,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Wood dock,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Broad buckler fern ,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Ivy,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Bramble,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Moss,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Wood speedwell,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Tree sapling ,R,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,2,T1Q2,Bare Ground ,D,4,2,4,3,3.25,24,4,14,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Enchanter's nightshade,O,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Wood dock,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Ivy,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Moss,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Bluebell,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Herb robert ,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Wood speedwell,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Tree sapling ,R,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,3,T1Q3,Bare Ground ,D,2,3,2,0,1.75,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,4,T1Q4,Ivy,R,3,1,5,1,2.5,40,4,22,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,4,T1Q4,Bluebell,O,3,1,5,1,2.5,40,4,22,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,4,T1Q4,Alder tree ,R,3,1,5,1,2.5,40,4,22,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,4,T1Q4,Bare Ground ,D,3,1,5,1,2.5,40,4,22,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Moss,D,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Ivy,R,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Grasses,R,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Wood speedwell,R,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Wood avens ,R,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,5,T1Q5,Bare Ground ,F,4,4,4,4,4,24,12,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Wood avens ,R,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Bramble,R,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Herb robert ,R,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Bluebell,R,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Ivy,R,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Moss,R,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Holly,R,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Red campion ,O,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,6,T1Q6,Bare Ground ,A,1,3,3,0,1.75,20,4,12,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,7,T1Q7,Ivy,F,5,3,5,4,4.25,32,4,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,7,T1Q7,Wood speedwell,R,5,3,5,4,4.25,32,4,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,7,T1Q7,Holly,R,5,3,5,4,4.25,32,4,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,7,T1Q7,Tree sapling ,R,5,3,5,4,4.25,32,4,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,7,T1Q7,Bluebell ,R,5,3,5,4,4.25,32,4,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,7,T1Q7,Unidentified plant ,R,5,3,5,4,4.25,32,4,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,7,T1Q7,Bare Ground ,A,5,3,5,4,4.25,32,4,18,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,8,T1Q8,Bluebell,F,2,5,1,5,3.25,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,8,T1Q8,Ivy,R,2,5,1,5,3.25,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,8,T1Q8,Tree sapling ,R,2,5,1,5,3.25,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,8,T1Q8,Wood speedwell,R,2,5,1,5,3.25,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,1,8,T1Q8,Bare Ground ,D,2,5,1,5,3.25,24,8,16,NOT RECORDED,NOT RECORDED,NOT RECORDED,
05/07/2016,2,1,T2Q1,Grasses,A,0,0,2,2,1,100,82,91,1,N,N,
05/07/2016,2,1,T2Q1,Yellow pimpernel,O,0,0,2,2,1,100,82,91,1,N,N,
05/07/2016,2,1,T2Q1,Enchanter's nightshade,O,0,0,2,2,1,100,82,91,1,N,N,
05/07/2016,2,1,T2Q1,Wood dock,R,0,0,2,2,1,100,82,91,1,N,N,
05/07/2016,2,1,T2Q1,Opposite leaved golden saxifrage,F,0,0,2,2,1,100,82,91,1,N,N,
05/07/2016,2,1,T2Q1,Herb robert ,O,0,0,2,2,1,100,82,91,1,N,N,
05/07/2016,2,1,T2Q1,Rush,O,0,0,2,2,1,100,82,91,1,N,N,
05/07/2016,2,1,T2Q1,Bare Ground ,O,0,0,2,2,1,100,82,91,1,N,N,
05/07/2016,2,2,T2Q2,Wood avens ,R,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,2,T2Q2,Bramble,F,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,2,T2Q2,Yellow pimpernel,F,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,2,T2Q2,Grasses,A,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,2,T2Q2,Sedges,O,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,2,T2Q2,Wood speedwell,R,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,2,T2Q2,Ivy,R,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,2,T2Q2,Dog violet,R,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,2,T2Q2,Bare Ground ,O,5,2,0,1,2,68,16,42,1,N,N,
05/07/2016,2,3,T2Q3,Wood avens ,O,3,2,1,5,2.75,16,12,14,1,Y,N,
05/07/2016,2,3,T2Q3,Wild garlic,O,3,2,1,5,2.75,16,12,14,1,Y,N,
05/07/2016,2,3,T2Q3,Bramble,O,3,2,1,5,2.75,16,12,14,1,Y,N,
05/07/2016,2,3,T2Q3,Grasses,R,3,2,1,5,2.75,16,12,14,1,Y,N,
05/07/2016,2,3,T2Q3,Ash tree sapling,R,3,2,1,5,2.75,16,12,14,1,Y,N,
05/07/2016,2,3,T2Q3,Ground ivy,R,3,2,1,5,2.75,16,12,14,1,Y,N,
05/07/2016,2,3,T2Q3,Moss,R,3,2,1,5,2.75,16,12,14,1,Y,N,
05/07/2016,2,3,T2Q3,Bare Ground ,D,3,2,1,5,2.75,16,12,14,1,Y,N,
05/07/2016,2,4,T2Q4,Wood dock,R,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Sedges,O,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Yellow pimpernel,F,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Wild garlic,R,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Grasses,A,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Dog violet,R,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Moss,R,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Ash tree sapling,R,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Cleavers,R,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,4,T2Q4,Bare Ground ,O,0,5,1,2,2,20,16,18,1,N,N,
05/07/2016,2,5,T2Q5,Grasses,D,3,2,4,4,3.25,8,8,8,1,N,N,
05/07/2016,2,5,T2Q5,Dog violet,R,3,2,4,4,3.25,8,8,8,1,N,N,
05/07/2016,2,5,T2Q5,Wood speedwell,R,3,2,4,4,3.25,8,8,8,1,N,N,
05/07/2016,2,5,T2Q5,MOSS,R,3,2,4,4,3.25,8,8,8,1,N,N,
05/07/2016,2,5,T2Q5,Unidentified plant ,R,3,2,4,4,3.25,8,8,8,1,N,N,
05/07/2016,2,5,T2Q5,Bare Ground ,F,3,2,4,4,3.25,8,8,8,1,N,N,
05/07/2016,2,6,T2Q6,Wood avens ,R,2,3,3,0,2,16,8,12,2,N,N,
05/07/2016,2,6,T2Q6,Yellow pimpernel,R,2,3,3,0,2,16,8,12,2,N,N,
05/07/2016,2,6,T2Q6,Wood dock,R,2,3,3,0,2,16,8,12,2,N,N,
05/07/2016,2,6,T2Q6,Ash tree sapling,R,2,3,3,0,2,16,8,12,2,N,N,
05/07/2016,2,6,T2Q6,Grasses,A,2,3,3,0,2,16,8,12,2,N,N,
05/07/2016,2,6,T2Q6,Sedges,F,2,3,3,0,2,16,8,12,2,N,N,
05/07/2016,2,6,T2Q6,Ground ivy,R,2,3,3,0,2,16,8,12,2,N,N,
05/07/2016,2,6,T2Q6,Bare Ground ,O,2,3,3,0,2,16,8,12,2,N,N,
05/07/2016,2,7,T2Q7,Wood speedwell,R,2,3,3,5,3.25,16,12,14,2,N,N,
05/07/2016,2,7,T2Q7,Wood dock,R,2,3,3,5,3.25,16,12,14,2,N,N,
05/07/2016,2,7,T2Q7,Ash tree sapling,R,2,3,3,5,3.25,16,12,14,2,N,N,
05/07/2016,2,7,T2Q7,Bramble,R,2,3,3,5,3.25,16,12,14,2,N,N,
05/07/2016,2,7,T2Q7,Ivy,NOT RECORDED,2,3,3,5,3.25,16,12,14,2,N,N,
05/07/2016,2,7,T2Q7,Grasses,A,2,3,3,5,3.25,16,12,14,2,N,N,
05/07/2016,2,7,T2Q7,Sedges,F,2,3,3,5,3.25,16,12,14,2,N,N,
05/07/2016,2,7,T2Q7,Bare Ground ,O,2,3,3,5,3.25,16,12,14,2,N,N,
05/07/2016,4,1,T4Q1,Herb robert ,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Bramble,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Ivy,F,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Wood speedwell,O,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Grasses,A,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Wood avens ,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Moss,F,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Yellow pimpernel,O,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Germander speedwell,O,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Hawthorn tree sapling ,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,1,T4Q1,Bare Ground ,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Bluebell ,R,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Dog rose,O,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Herb robert ,R,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Grasses,F,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Bramble,O,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Wood avens ,O,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Primrose ,R,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Violet,O,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Yellow pimpernel,R,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Dandelion ,R,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,2,T4Q2,Bare Ground ,R,4,3,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Primrose ,F,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Bramble,O,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Enchanter's nightshade,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Dog rose,O,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Herb robert ,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Germander speedwell,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Dandelion ,R,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Dog violet,O,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
05/07/2016,4,3,T4Q3,Wood avens ,F,3,4,3,3,3.25,NOT RECORDED,NOT RECORDED,NOT RECORDED,1,N,N,
